timestamp,label,country,state,sourcehost,username,destination,longitude,latitude,"event_count"
"2024-09-10 17:04:04
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",CHAT,honeypot,"30.52428","50.45056",1
"2024-09-10 17:04:03
","Ukraine - 45.143.201.131",Ukraine,"Kyiv City","45.143.201.131",BINSUSER,honeypot,"30.45675","50.43830",1
"2024-09-10 17:04:02
","Ukraine - 31.43.185.39",Ukraine,"Kyiv City","31.43.185.39",JENNIFER,honeypot,"30.52428","50.45056",1
"2024-09-10 17:04:01
","Ukraine - 185.156.72.69",Ukraine,"Kyiv City","185.156.72.69",NYSA,honeypot,"30.45675","50.43830",1
"2024-09-10 17:04:00
","Ukraine - 45.143.201.131",Ukraine,"Kyiv City","45.143.201.131",IT,honeypot,"30.45675","50.43830",1
"2024-09-10 17:03:59
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",PASTEL,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:58
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",MARILIZE,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:57
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",RONEL,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:56
","Ukraine - 45.143.201.131",Ukraine,"Kyiv City","45.143.201.131",ACC,honeypot,"30.45675","50.43830",1
"2024-09-10 17:03:55
","Ukraine - 31.43.185.39",Ukraine,"Kyiv City","31.43.185.39",PERMANENCE,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:54
","Ukraine - 31.43.185.39",Ukraine,"Kyiv City","31.43.185.39",HMIP,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:53
","Ukraine - 31.43.185.39",Ukraine,"Kyiv City","31.43.185.39",KIRILL,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:52
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",UTIL11,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:51
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",JWILLIAMS,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:50
","Ukraine - 185.156.72.69",Ukraine,"Kyiv City","185.156.72.69",TEST2,honeypot,"30.45675","50.43830",1
"2024-09-10 17:03:49
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",BURR,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:48
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",ANA,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:47
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",ADMINISTRATOR,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:46
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",UNICHEM,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:45
","Ukraine - 45.143.201.131",Ukraine,"Kyiv City","45.143.201.131",COMMERCIAL,honeypot,"30.45675","50.43830",1
"2024-09-10 17:03:44
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",ADMINISTRATEUR,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:43
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",USER,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:42
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",ARIF,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:41
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",MKSOFT,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:40
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",ADMINISTRATOR,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:39
","Ukraine - 31.43.185.39",Ukraine,"Kyiv City","31.43.185.39",NEW,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:38
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",ADMINISTRATOR,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:37
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",SCANNER,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:36
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",CARD,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:35
","Ukraine - 185.156.72.69",Ukraine,"Kyiv City","185.156.72.69",ADRIENNE,honeypot,"30.45675","50.43830",1
"2024-09-10 17:03:34
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",MINECRAFT,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:33
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",ADMINISTRATOR,honeypot,"30.52428","50.45056",1
"2024-09-10 17:03:32
","Ukraine - 45.143.201.131",Ukraine,"Kyiv City","45.143.201.131",ALLAN,honeypot,"30.45675","50.43830",1
"2024-09-10 17:03:31
","Ukraine - 185.156.72.69",Ukraine,"Kyiv City","185.156.72.69",JEANMARC,honeypot,"30.45675","50.43830",1
"2024-09-10 17:17:33
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",ADMINISTRATOR,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:32
","Ukraine - 45.143.201.131",Ukraine,"Kyiv City","45.143.201.131",WEBBROKER,honeypot,"30.45675","50.43830",1
"2024-09-10 17:17:31
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",BB,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:30
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",AWSUSER,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:29
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",VISTA,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:28
","Ukraine - 45.143.201.131",Ukraine,"Kyiv City","45.143.201.131",VELOCE,honeypot,"30.45675","50.43830",1
"2024-09-10 17:17:27
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",TESTUSER,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:26
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",FUENLABRADA,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:25
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",JEFERSON,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:24
","Ukraine - 31.43.185.39",Ukraine,"Kyiv City","31.43.185.39",MATHIEU,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:23
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",SQLAGENT,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:22
","Ukraine - 31.43.185.39",Ukraine,"Kyiv City","31.43.185.39",MARTINUCCI,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:21
","Ukraine - 45.143.201.131",Ukraine,"Kyiv City","45.143.201.131",UTENTE04,honeypot,"30.45675","50.43830",1
"2024-09-10 17:17:20
","Ukraine - 185.156.72.69",Ukraine,"Kyiv City","185.156.72.69",USER08,honeypot,"30.45675","50.43830",1
"2024-09-10 17:17:19
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",CIC,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:18
","Ukraine - 185.156.72.69",Ukraine,"Kyiv City","185.156.72.69",ACOSTA,honeypot,"30.45675","50.43830",1
"2024-09-10 17:17:17
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",VIKRAM,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:16
","Ukraine - 45.143.201.131",Ukraine,"Kyiv City","45.143.201.131",INMOQBO,honeypot,"30.45675","50.43830",1
"2024-09-10 17:17:15
","Ukraine - 31.43.185.39",Ukraine,"Kyiv City","31.43.185.39",VOOR,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:14
","Ukraine - 31.43.185.39",Ukraine,"Kyiv City","31.43.185.39",FIRDAUS,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:13
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",MICRO,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:12
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",MISAFIR,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:11
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",PETRA,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:10
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",TED,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:09
","Ukraine - 185.156.72.69",Ukraine,"Kyiv City","185.156.72.69",A039,honeypot,"30.45675","50.43830",1
"2024-09-10 17:17:08
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",EASY,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:07
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",ADMIN,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:06
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",REPORTUSER,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:05
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",TAMI,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:04
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",MCH,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:03
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",LOG,honeypot,"30.52428","50.45056",1
"2024-09-10 17:17:02
","Ukraine - 185.156.72.69",Ukraine,"Kyiv City","185.156.72.69",BIZBOX,honeypot,"30.45675","50.43830",1
"2024-09-10 17:17:01
","Ukraine - 45.143.201.131",Ukraine,"Kyiv City","45.143.201.131",SYSADMIN,honeypot,"30.45675","50.43830",1
"2024-09-10 17:17:00
","Ukraine - 31.43.185.6",Ukraine,"Kyiv City","31.43.185.6",MSANTOS,honeypot,"30.52428","50.45056",1
"2024-09-10 17:16:59
","Ukraine - 45.143.201.131",Ukraine,"Kyiv City","45.143.201.131",SUPORTE,honeypot,"30.45675","50.43830",1
"2024-09-10 17:16:58
","Ukraine - 31.43.185.40",Ukraine,"Kyiv City","31.43.185.40",FREDERICO,honeypot,"30.52428","50.45056",1
